event_id,event_name,event_date,speaker_hcp_id,specialty_focus,region,program_spend,target_ndc_category,venue_type,max_capacity,attendee_count
EVT-0001,Oral JAK Inhibition in Inflammatory Arthritis - Lansing Regional Dinner Program,2023-07-06,1546587092,rheumatology,Midwest,6700,RHEUM_JAK_ORAL,virtual,122,11
EVT-0002,Anticoagulation Across Comorbid Populations - Peoria Case-Based Forum,2023-07-09,1942374996,oncology,Midwest,34020,CV_ANTICOAG_ORAL,in-person,64,24
EVT-0003,Inhaled Maintenance Therapy in COPD & Asthma - Chattanooga Case-Based Forum,2023-07-10,1707268052,pulmonology,Southeast,23680,PULM_ICS_LABA_INH,in-person,35,13
EVT-0004,Basal Insulin Optimization - Portland Case-Based Forum,2023-07-14,1693072195,endocrinology,Northeast,15250,ENDO_BASAL_INSULIN,in-person,48,15
EVT-0005,Incretin-Based Therapy: Cardiometabolic Evidence - Colorado Springs Speaker Program,2023-07-17,1600833937,oncology,West,31940,METABOLIC_GLP1_INJ,in-person,37,20
EVT-0006,Targeted Oral Therapy in Advanced Disease - New Haven Advisory Roundtable,2023-07-18,1043802820,oncology,Northeast,10880,ONC_TARGETED_ORAL,virtual,92,5
EVT-0007,Guideline-Directed Therapy in Heart Failure - Portland Clinical Update Series,2023-07-28,1693013389,cardiology,Northeast,21490,CARD_HF_ARNI,in-person,31,16
EVT-0008,CGRP Pathway Inhibition in Migraine - Grand Rapids Speaker Program,2023-07-30,1872102060,neurology,Midwest,28620,NEURO_MIGRAINE_CGRP,in-person,46,9
EVT-0009,Incretin-Based Therapy: Cardiometabolic Evidence - Portland Peer-to-Peer Exchange,2023-08-01,1788800922,primary care,Northeast,24380,METABOLIC_GLP1_INJ,in-person,33,33
EVT-0010,Anticoagulation Across Comorbid Populations - Stamford Speaker Program,2023-08-06,1182422455,cardiology,Northeast,20040,CV_ANTICOAG_ORAL,in-person,25,21
EVT-0011,Anticoagulation Across Comorbid Populations - Portland Clinical Update Series,2023-08-08,1134195944,cardiology,Northeast,54410,CV_ANTICOAG_ORAL,in-person,63,28
EVT-0012,Guideline-Directed Therapy in Heart Failure - Norfolk Case-Based Forum,2023-08-10,1611741350,cardiology,Southeast,36540,CARD_HF_ARNI,in-person,41,16
EVT-0013,Resistant Hypertension in Primary Care - Detroit Clinical Update Series,2023-08-11,1909167417,primary care,Midwest,12420,PC_ANTIHYPERTENSIVE,in-person,26,21
EVT-0014,Guideline-Directed Therapy in Heart Failure - New Haven Peer-to-Peer Exchange,2023-09-01,1968340152,cardiology,Northeast,4750,CARD_HF_ARNI,virtual,125,16
EVT-0015,Resistant Hypertension in Primary Care - Jacksonville Peer-to-Peer Exchange,2023-09-02,1753387863,primary care,Southeast,25810,PC_ANTIHYPERTENSIVE,in-person,58,34
EVT-0016,Resistant Hypertension in Primary Care - Eugene Speaker Program,2023-09-02,1120344282,primary care,West,15800,PC_ANTIHYPERTENSIVE,in-person,63,24
EVT-0017,Incretin-Based Therapy: Cardiometabolic Evidence - Eugene Advisory Roundtable,2023-09-09,1114926011,cardiology,West,3990,METABOLIC_GLP1_INJ,virtual,95,44
EVT-0018,Basal Insulin Optimization - Winston-Salem Speaker Program,2023-09-11,1912301342,endocrinology,Southeast,18840,ENDO_BASAL_INSULIN,in-person,41,14
EVT-0019,Resistant Hypertension in Primary Care - Portland Advisory Roundtable,2023-09-11,1788800922,primary care,Northeast,23380,PC_ANTIHYPERTENSIVE,in-person,39,33
EVT-0020,Resistant Hypertension in Primary Care - Minneapolis Peer-to-Peer Exchange,2023-09-12,1479680351,primary care,Midwest,16850,PC_ANTIHYPERTENSIVE,in-person,26,26
EVT-0021,Incretin-Based Therapy: Cardiometabolic Evidence - Boulder Clinical Update Series,2023-09-13,1405644208,neurology,West,32300,METABOLIC_GLP1_INJ,in-person,29,17
EVT-0022,Anticoagulation Across Comorbid Populations - Albany Case-Based Forum,2023-09-19,1231312657,neurology,Northeast,74200,CV_ANTICOAG_ORAL,in-person,44,26
EVT-0023,Basal Insulin Optimization - Chattanooga Case-Based Forum,2023-09-20,1491649715,endocrinology,Southeast,13190,ENDO_BASAL_INSULIN,in-person,62,12
EVT-0024,Basal Insulin Optimization - Albuquerque Advisory Roundtable,2023-09-27,1956217115,endocrinology,Southwest,23700,ENDO_BASAL_INSULIN,in-person,65,14
EVT-0025,Resistant Hypertension in Primary Care - Rockford Peer-to-Peer Exchange,2023-10-08,1869092142,primary care,Midwest,14480,PC_ANTIHYPERTENSIVE,in-person,29,29
EVT-0026,Resistant Hypertension in Primary Care - Salt Lake City Advisory Roundtable,2023-10-08,1329851996,primary care,West,18160,PC_ANTIHYPERTENSIVE,in-person,57,29
EVT-0027,CGRP Pathway Inhibition in Migraine - Toledo Regional Dinner Program,2023-10-08,1555316755,neurology,Midwest,11970,NEURO_MIGRAINE_CGRP,in-person,28,6
EVT-0028,CGRP Pathway Inhibition in Migraine - Detroit Peer-to-Peer Exchange,2023-10-08,1028772501,neurology,Midwest,9670,NEURO_MIGRAINE_CGRP,virtual,53,9
EVT-0029,Anticoagulation Across Comorbid Populations - Santa Fe Peer-to-Peer Exchange,2023-10-09,1572650665,endocrinology,Southwest,58900,CV_ANTICOAG_ORAL,in-person,51,35
EVT-0030,Basal Insulin Optimization - Stamford Case-Based Forum,2023-10-10,1160652685,endocrinology,Northeast,1460,ENDO_BASAL_INSULIN,virtual,74,20
EVT-0031,Anticoagulation Across Comorbid Populations - Hartford Speaker Program,2023-10-16,1397150222,cardiology,Northeast,18450,CV_ANTICOAG_ORAL,in-person,31,31
